Partida n;46%;;;;Medida 1;Medida 2;Medida 3;Medida 4;;;
Partida 1;61,12;;;Negro de fumo;57,06%;57,51%;56,35%;55,92%;;;
Partida 2;56,67;;;Sangue;69,05%;73,24%;74,85%;70,04%;;;
Partida 3;83,01;;;Chocolate com leite;65,20%;65,44%;62,71%;63,05%;;;Obs: é obrigatório a substituição do ponto por vírgula
Partida 4;82,46;;;Vinho;71,37%;72,42%;72,03%;72,21%;;;exemplo: 78.00% por 78,00%
Partida 5;59,23;;;Negro de fumo;55,99%;56,95%;54,95%;57,08%;;;
Partida 6;56,13;;;Sangue;71,79%;73,04%;71,33%;70,96%;;;
Partida 7;81,64;;;Chocolate com leite;61,32%;57,70%;58,84%;60,79%;;;
Partida 8;81,58;;;Vinho;72,94%;71,10%;72,36%;72,68%;;;
Partida 9;55,87;;;Negro de fumo;58,47%;57,66%;57,29%;59,74%;;;
Partida 10;57,44;;;Sangue;72,01%;69,61%;67,26%;66,71%;;;
Partida 11;82,76;;;Chocolate com leite;62,82%;64,78%;63,05%;65,87%;;;
Partida 12;82,77;;;Vinho;73,08%;73,34%;72,46%;73,58%;;;
Partida 13;56,99;;;Negro de fumo;53,11%;55,19%;56,18%;57,21%;;;
Partida 14;57,33;;;Sangue;76,79%;69,88%;71,72%;75,74%;;;
Partida 15;81,77;;;Chocolate com leite;61,48%;57,03%;56,66%;60,41%;;;
Partida 16;82,1;;;Vinho;73,11%;72,37%;72,66%;72,26%;;;
Partida 17;57,33;;;;;;;;;;
Partida 18;56,51;;;;;;;;;;
Partida 19;82,65;;;;;;;;;;
Partida 20;82,82;;;;;;;;;;
Partida 21;62,65;;;;;;;;;;
Partida 22;57,76;;;;;;;;;;
Partida 23;81,82;;;;;;;;;;
Partida 24;81,53;;;;;;;;;;
Partida 25;56,65;;;;;;;;;;
Partida 26;57,83;;;;;;;;;;
Partida 27;82,8;;;;;;;;;;
Partida 28;81,31;;;;;;;;;;
Partida 29;61,93;;;;;;;;;;
Partida 30;61,85;;;;;;;;;;
Partida 31;81,71;;;;;;;;;;
Partida 32;81,53;;;;;;;;;;
Partida 33;59,04;;;;;;;;;;
Partida 34;61,31;;;;;;;;;;
Partida 35;83,87;;;;;;;;;;
Partida 36;82,95;;;;;;;;;;
Partida 37;59,14;;;;;;;;;;
Partida 38;64,71;;;;;;;;;;
Partida 39;81,79;;;;;;;;;;
Partida 40;82,25;;;;;;;;;;
Partida 41;60,4;;;;;;;;;;
Partida 42;60,24;;;;;;;;;;
Partida 43;82,08;;;;;;;;;;
Partida 44;83,15;;;;;;;;;;
Partida 45;61,23;;;;;;;;;;
Partida 46;58,99;;;;;;;;;;
Partida 47;82,62;;;;;;;;;;
Partida 48;82,13;;;;;;;;;;
Partida 49;55,48;;;;;;;;;;
Partida 50;53,12;;;;;;;;;;
Partida 51;82,97;;;;;;;;;;
Partida 52;83,18;;;;;;;;;;
Partida 53;58,2;;;;;;;;;;
Partida 54;62,54;;;;;;;;;;
Partida 55;81,34;;;;;;;;;;
Partida 56;81,8;;;;;;;;;;
Partida 57;56,99;;;;;;;;;;
Partida 58;54,37;;;;;;;;;;
Partida 59;82,85;;;;;;;;;;
Partida 60;83,51;;;;;;;;;;
Partida 61;60,72;;;;;;;;;;
Partida 62;59,57;;;;;;;;;;
Partida 63;81,94;;;;;;;;;;
Partida 64;81,27;;;;;;;;;;
